lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag,y_proba,y_pred
33.8063,-118.3638,1,3,0,25,0.0,0.34259848028740925,0
33.8183,-118.3868,8,2,0,25,1.0,0.3511334790783824,0
33.8583,-118.4528,0,3,0,26,0.0,0.32225899014306303,0
33.7723,-118.2968,0,2,0,27,1.0,0.32638796990391367,0
33.8503,-118.4248,2,1,0,24,0.0,0.357094847920791,0
33.8163,-118.2688,11,2,0,22,1.0,0.38153662150870826,0
33.9873,-118.0388,8,1,0,23,0.0,0.30218442242167703,0
33.7873,-118.2628,3,1,0,25,1.0,0.35024519062699705,0
33.8543,-118.1028,0,2,0,25,0.0,0.31084234677990186,0
33.8333,-118.1378,11,1,0,24,0.0,0.34459368095822035,0
33.7933,-118.3278,3,2,0,25,1.0,0.34948117138898915,0
33.8943,-118.4628,0,2,0,24,0.0,0.34119438490505355,0
33.7683,-118.2688,0,2,0,27,1.0,0.3252063599056019,0
33.7953,-118.1618,10,2,0,27,0.0,0.3163608838306785,0
33.8143,-118.1568,11,4,0,25,1.0,0.3261749823528543,0
33.5673,-118.2228,0,2,0,47,0.0,0.1722911307213594,0
33.8083,-118.1928,0,3,0,24,0.0,0.3388819512574821,0
33.7973,-118.2588,9,4,0,24,0.0,0.35030740561477114,0
33.8143,-118.3728,5,4,0,25,0.0,0.3396448337982216,0
33.7973,-118.3008,0,4,0,24,1.0,0.3467678884524313,0
33.8673,-118.0818,9,1,0,25,0.0,0.31659869845266836,0
33.8443,-118.1108,6,2,0,25,1.0,0.31882445345955374,0
33.7993,-118.4318,11,3,0,29,0.0,0.3103058133792221,0
34.0253,-118.0328,3,3,0,23,1.0,0.2796233674467233,0
34.0253,-118.4988,0,3,0,22,1.0,0.32595845949625984,0
33.7973,-118.2418,9,1,0,24,0.0,0.3626798936658458,0
33.7993,-118.1548,11,4,0,27,0.0,0.30679623874571166,0
33.7973,-118.3468,4,1,0,25,0.0,0.3553220785576343,0
33.8183,-118.1278,1,1,0,26,1.0,0.3163765435145988,0
33.8083,-118.1548,6,3,0,26,1.0,0.3164735882571903,0
34.0213,-118.0348,2,3,0,23,0.0,0.28011973164873,0
33.8733,-118.0858,11,4,0,25,1.0,0.3038333535539708,0
33.8253,-118.4128,5,1,0,26,1.0,0.3412149278062012,0
33.8293,-118.1258,0,2,0,25,1.0,0.31973828394070575,0
33.7853,-118.1698,7,3,0,27,0.0,0.3132165618890455,0
33.8463,-118.1168,3,3,0,25,0.0,0.31214269046849313,0
34.0103,-118.0268,9,1,0,24,1.0,0.2845400997474213,0
33.8123,-118.1468,5,1,0,26,1.0,0.3226748396154735,0
33.7993,-118.1278,7,3,0,28,0.0,0.29455026385635485,0
33.6353,-118.1618,0,3,0,42,0.0,0.1930673092740815,0
33.8203,-118.4298,10,4,0,27,1.0,0.3225629343961723,0
33.7993,-118.3198,0,1,0,25,0.0,0.34920971443014465,0
33.5783,-118.4198,0,1,0,48,0.0,0.17604318690610526,0
33.8373,-118.1028,9,3,0,26,0.0,0.30641988740019294,0
33.7913,-118.3558,9,1,0,26,0.0,0.3495038192729851,0
33.7973,-118.4188,6,3,0,28,0.0,0.3177130779281162,0
33.7873,-118.3558,0,3,0,27,1.0,0.3225887655552034,0
33.7913,-118.1528,7,4,0,27,1.0,0.3058753975711855,0
33.8013,-118.1598,5,1,0,26,1.0,0.32688984562223256,0
34.0423,-118.0328,8,2,0,23,0.0,0.2827537714413392,0
33.7593,-118.3678,6,3,0,30,0.0,0.3010067367123815,0
33.6503,-118.0388,0,1,0,45,0.0,0.1654127753447649,0
33.7873,-118.2378,3,2,0,25,0.0,0.3435462439750768,0
34.0043,-118.0328,11,4,0,24,1.0,0.275808343899334,0
34.0483,-118.0388,10,3,0,23,1.0,0.2789837290409721,0
34.0483,-118.5008,0,3,0,23,1.0,0.3079202247493084,0
34.0403,-118.5008,5,4,0,23,0.0,0.3095771637662244,0
34.0653,-118.4948,3,4,0,22,0.0,0.312234402010951,0
33.7933,-118.2398,0,4,0,25,0.0,0.33063662402755417,0
33.7263,-118.3658,0,5,0,33,0.0,0.2642305786675031,0
33.8353,-118.1318,5,3,0,25,0.0,0.31796210270864117,0
33.7973,-118.3848,8,1,0,27,1.0,0.33721282430186766,0
33.7263,-118.4458,0,1,0,36,0.0,0.25427989675894375,0
33.8463,-118.4128,9,3,0,24,1.0,0.353634994764791,0
33.7973,-118.2798,6,3,0,24,0.0,0.3543166149887008,0
33.7533,-118.2588,2,2,0,29,0.0,0.3067021447129076,0
33.7913,-118.3678,0,2,0,27,1.0,0.3268543363257076,0
33.8083,-118.3918,0,2,0,26,0.0,0.33596915837123237,0
33.8123,-118.1168,6,4,0,27,1.0,0.296527410440048,0
33.8253,-118.3998,4,4,0,25,1.0,0.33794256589837907,0
33.8253,-118.1258,4,4,0,26,0.0,0.3036008437380753,0
33.7973,-118.3768,2,4,0,26,0.0,0.3305009107135867,0
33.7743,-118.3408,0,4,0,27,0.0,0.320651159734297,0
33.8063,-118.3258,0,4,0,24,0.0,0.3462566399935405,0
33.8183,-118.1598,1,2,0,25,1.0,0.32644199256687084,0
33.8523,-118.4268,1,2,0,24,0.0,0.3512708802710612,0
33.7893,-118.2738,1,1,0,25,1.0,0.3490092005273099,0
33.4243,-118.1698,0,1,0,62,0.0,0.1001036087520711,0
33.8793,-118.4608,7,3,0,25,0.0,0.33424419081522444,0
34.0233,-118.0328,3,4,0,23,0.0,0.27610806315544445,0
33.7893,-118.2738,0,4,0,25,0.0,0.33464406495065896,0
33.8083,-118.2228,11,2,0,24,0.0,0.35471700564705133,0
33.8633,-118.1088,9,2,0,24,0.0,0.3273969787918425,0
33.8163,-118.1468,5,1,0,25,1.0,0.33347049054143757,0
34.0353,-118.0438,8,2,0,22,1.0,0.2966291154846828,0
33.8463,-118.4268,1,1,0,25,0.0,0.3453116541683707,0
33.8183,-118.4268,5,3,0,27,0.0,0.32346153944408373,0
33.8253,-118.1258,1,3,0,26,0.0,0.3056414277981665,0
33.8123,-118.1258,0,3,0,27,0.0,0.297059071340679,0
33.8523,-118.1108,10,2,0,24,1.0,0.33149685451869243,0
33.8013,-118.2688,0,2,0,24,1.0,0.35198339070443635,0
33.8393,-118.4108,8,3,0,24,1.0,0.35474509212052524,0
33.8223,-118.4108,7,1,0,26,1.0,0.3434974048131972,0
33.8843,-118.0748,6,1,0,25,0.0,0.3090228504988913,0
33.7893,-118.2688,6,2,0,25,1.0,0.3479803575295208,0
33.8393,-118.4108,0,2,0,24,0.0,0.35295129831329325,0
33.8063,-118.3408,8,3,0,24,0.0,0.3585233529402104,0
33.8163,-118.4108,3,3,0,26,0.0,0.3331067036529659,0
33.8083,-118.3198,9,1,0,24,0.0,0.366193908060502,0
33.8353,-118.4128,0,1,0,25,0.0,0.3465607715330551,0
33.7533,-118.2858,0,3,0,29,0.0,0.3031187206609582,0
33.8083,-118.1598,8,4,0,26,0.0,0.3140473394138431,0
33.8013,-118.1678,2,4,0,26,1.0,0.31214478630277903,0
34.0313,-118.4968,1,4,0,22,1.0,0.32044957194523205,0
33.8463,-118.4128,10,1,0,24,0.0,0.36369504820568954,0
33.8013,-118.1758,2,4,0,26,0.0,0.31279432507735333,0
33.9833,-118.0328,2,4,0,24,0.0,0.2749806763243729,0
33.7873,-118.2158,1,4,0,26,0.0,0.31924216258919635,0
33.8633,-118.0978,2,2,0,24,0.0,0.3211243716646071,0
33.7743,-118.1468,0,3,0,29,0.0,0.28652174811079983,0
33.8013,-118.2038,5,4,0,25,0.0,0.32919253994555225,0
33.8203,-118.3768,6,1,0,24,0.0,0.36513777782025447,0
33.8033,-118.2588,5,1,0,24,0.0,0.3591365636370957,0
33.8373,-118.1168,0,2,0,25,0.0,0.31674272513682555,0
33.7973,-118.2858,0,4,0,24,0.0,0.34548486389565103,0
33.9323,-118.0558,0,4,0,24,0.0,0.2887501479398444,0
33.8633,-118.4338,6,2,0,24,0.0,0.3525975748480287,0
33.8313,-118.1318,2,2,0,25,0.0,0.32118812112206246,0
33.7913,-118.2158,7,3,0,25,0.0,0.33912738741335147,0
33.8523,-118.4268,8,1,0,24,0.0,0.36149836773928806,0
33.8733,-118.4548,3,2,0,25,0.0,0.33684695020890665,0
33.8313,-118.1318,7,3,0,25,1.0,0.32061242008819274,0
33.8393,-118.1048,1,4,0,26,0.0,0.29591172929180376,0
33.7873,-118.2818,0,3,0,25,0.0,0.3404006540419926,0
33.7993,-118.1848,11,4,0,25,0.0,0.3328230867382258,0
